opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess,spec_mnemonic_ref,spec_mode_ref,spec_cycles_ref,cycle_compare,overall_compare
00,BRK,IMP,2,7,brk_s_imp,BRK,yes,BRK,IMP,0/6,mismatch,mismatch
01,ORA,IND_X,2,6,ora_s_idx,ORA,yes,ORA,IND_X,6,match,match
02,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
03,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
04,TSB,ZPG,2,5,tsb_s_zpg,TSB,yes,TSB,ZPG,5,match,match
05,ORA,ZPG,2,3,ora_zpg,ORA,yes,ORA,ZPG,3,match,match
06,ASL,ZPG,2,5,asl_s_zpg,ASL,yes,ASL,ZPG,5,match,match
07,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
08,PHP,IMP,1,3,php_imp,PHP,yes,PHP,IMP,3,match,match
09,ORA,IMM,2,2,ora_imm,ORA,yes,ORA,IMM,2,match,match
0A,ASL,ACC,1,2,asl_acc,ASL,yes,ASL,ACC,2,match,match
0B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
0C,TSB,ABS,3,6,tsb_aba,TSB,yes,TSB,ABS,6,match,match
0D,ORA,ABS,3,4,ora_aba,ORA,yes,ORA,ABS,4,match,match
0E,ASL,ABS,3,6,asl_c_aba,ASL,yes,ASL,ABS,6,match,match
0F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
10,BPL,REL,2,2,bpl_rel,BPL,yes,BPL,REL,1/3,match,match
11,ORA,IND_Y,2,5,ora_s_idy,ORA,yes,ORA,IND_Y,3/6,match,match
12,ORA,ZPG_IND,2,5,ora_zpi,ORA,yes,ORA,ZPG_IND,5,match,match
13,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
14,TRB,ZPG,2,5,trb_s_zpg,TRB,yes,TRB,ZPG,5,match,match
15,ORA,ZPG_X,2,4,ora_s_zpx,ORA,yes,ORA,ZPG_X,4,match,match
16,ASL,ZPG_X,2,6,asl_s_zpx,ASL,yes,ASL,ZPG_X,6,match,match
17,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
18,CLC,IMP,1,2,clc_imp,CLC,yes,CLC,IMP,2,match,match
19,ORA,ABS_Y,3,4,ora_s_aby,ORA,yes,ORA,ABS_Y,2/5,match,match
1A,INA,ACC,1,2,inc_acc,INC,no,INC,ACC,2,match,mismatch
1B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
1C,TRB,ABS,3,6,trb_aba,TRB,yes,TRB,ABS,6,match,match
1D,ORA,ABS_X,3,4,ora_s_abx,ORA,yes,ORA,ABS_X,2/5,match,match
1E,ASL,ABS_X,3,6,asl_s_abx,ASL,yes,ASL,ABS_X,7,mismatch,mismatch
1F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
20,JSR,ABS,3,6,jsr_adr,JSR,yes,JSR,ABS,6,match,match
21,AND,IND_X,2,6,and_s_idx,AND,yes,AND,IND_X,6,match,match
22,NOP,IMP,2,2,nop_imm,NOP,yes,NOP,IMM,2,match,match
23,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
24,BIT,ZPG,2,3,bit_zpg,BIT,yes,BIT,ZPG,3,match,match
25,AND,ZPG,2,3,and_zpg,AND,yes,AND,ZPG,3,match,match
26,ROL,ZPG,2,5,rol_s_zpg,ROL,yes,ROL,ZPG,5,match,match
27,NOP,IMP,1,1,rmb_bzp,RMB,no,NOP,IMP,1,match,mismatch
28,PLP,IMP,1,4,plp_s_imp,PLP,yes,PLP,IMP,4,match,match
29,AND,IMM,2,2,and_imm,AND,yes,AND,IMM,2,match,match
2A,ROL,ACC,1,2,rol_acc,ROL,yes,ROL,ACC,2,match,match
2B,NOP,IMP,1,1,nop_c_imp,NOP,yes,NOP,IMP,1,match,match
2C,BIT,ABS,3,4,bit_aba,BIT,yes,BIT,ABS,4,match,match
2D,AND,ABS,3,4,and_aba,AND,yes,AND,ABS,4,match,match
2E,ROL,ABS,3,6,rol_c_aba,ROL,yes,ROL,ABS,6,match,match
2F,NOP,IMP,1,1,bbr_zpb,BBR,no,NOP,IMP,1,match,mismatch
30,BMI,REL,2,2,bmi_rel,BMI,yes,BMI,REL,1/3,match,match
