opcode_hex,java_mnemonic,java_mode,java_bytes,java_base_cycles,wdc_token,wdc_mnemonic_guess,mnemonic_match_guess
00,BRK,IMP,2,7,brk_s_imp,BRK,yes
01,ORA,IND_X,2,6,ora_s_idx,ORA,yes
02,NOP,IMP,2,2,nop_imm,NOP,yes
03,NOP,IMP,1,1,nop_c_imp,NOP,yes
04,TSB,ZPG,2,5,tsb_s_zpg,TSB,yes
05,ORA,ZPG,2,3,ora_zpg,ORA,yes
06,ASL,ZPG,2,5,asl_s_zpg,ASL,yes
07,NOP,IMP,1,1,rmb_bzp,RMB,no
08,PHP,IMP,1,3,php_imp,PHP,yes
09,ORA,IMM,2,2,ora_imm,ORA,yes
0A,ASL,ACC,1,2,asl_acc,ASL,yes
0B,NOP,IMP,1,1,nop_c_imp,NOP,yes
0C,TSB,ABS,3,6,tsb_aba,TSB,yes
0D,ORA,ABS,3,4,ora_aba,ORA,yes
0E,ASL,ABS,3,6,asl_c_aba,ASL,yes
0F,NOP,IMP,1,1,bbr_zpb,BBR,no
10,BPL,REL,2,2,bpl_rel,BPL,yes
11,ORA,IND_Y,2,5,ora_s_idy,ORA,yes
12,ORA,ZPG_IND,2,5,ora_zpi,ORA,yes
13,NOP,IMP,1,1,nop_c_imp,NOP,yes
14,TRB,ZPG,2,5,trb_s_zpg,TRB,yes
15,ORA,ZPG_X,2,4,ora_s_zpx,ORA,yes
16,ASL,ZPG_X,2,6,asl_s_zpx,ASL,yes
17,NOP,IMP,1,1,rmb_bzp,RMB,no
18,CLC,IMP,1,2,clc_imp,CLC,yes
19,ORA,ABS_Y,3,4,ora_s_aby,ORA,yes
1A,INA,ACC,1,2,inc_acc,INC,no
1B,NOP,IMP,1,1,nop_c_imp,NOP,yes
1C,TRB,ABS,3,6,trb_aba,TRB,yes
1D,ORA,ABS_X,3,4,ora_s_abx,ORA,yes
1E,ASL,ABS_X,3,6,asl_s_abx,ASL,yes
1F,NOP,IMP,1,1,bbr_zpb,BBR,no
20,JSR,ABS,3,6,jsr_adr,JSR,yes
21,AND,IND_X,2,6,and_s_idx,AND,yes
22,NOP,IMP,2,2,nop_imm,NOP,yes
23,NOP,IMP,1,1,nop_c_imp,NOP,yes
24,BIT,ZPG,2,3,bit_zpg,BIT,yes
25,AND,ZPG,2,3,and_zpg,AND,yes
26,ROL,ZPG,2,5,rol_s_zpg,ROL,yes
27,NOP,IMP,1,1,rmb_bzp,RMB,no
28,PLP,IMP,1,4,plp_s_imp,PLP,yes
29,AND,IMM,2,2,and_imm,AND,yes
2A,ROL,ACC,1,2,rol_acc,ROL,yes
2B,NOP,IMP,1,1,nop_c_imp,NOP,yes
2C,BIT,ABS,3,4,bit_aba,BIT,yes
2D,AND,ABS,3,4,and_aba,AND,yes
2E,ROL,ABS,3,6,rol_c_aba,ROL,yes
2F,NOP,IMP,1,1,bbr_zpb,BBR,no
30,BMI,REL,2,2,bmi_rel,BMI,yes
31,AND,IND_Y,2,5,and_s_idy,AND,yes
32,AND,ZPG_IND,2,5,and_zpi,AND,yes
33,NOP,IMP,1,1,nop_c_imp,NOP,yes
34,BIT,ZPG_X,2,4,bit_s_zpx,BIT,yes
35,AND,ZPG_X,2,4,and_s_zpx,AND,yes
36,ROL,ZPG_X,2,6,rol_s_zpx,ROL,yes
37,NOP,IMP,1,1,rmb_bzp,RMB,no
38,SEC,IMP,1,2,sec_imp,SEC,yes
39,AND,ABS_Y,3,4,and_s_aby,AND,yes
3A,DEA,ACC,1,2,dec_acc,DEC,no
3B,NOP,IMP,1,1,nop_c_imp,NOP,yes
3C,BIT,ABS_X,3,4,bit_s_abx,BIT,yes
3D,AND,ABS_X,3,4,and_s_abx,AND,yes
3E,ROL,ABS_X,3,6,rol_s_abx,ROL,yes
3F,NOP,IMP,1,1,bbr_zpb,BBR,no
40,RTI,IMP,1,6,rti_s_imp,RTI,yes
41,EOR,IND_X,2,6,eor_s_idx,EOR,yes
42,NOP,IMP,2,2,nop_imm,NOP,yes
43,NOP,IMP,1,1,nop_c_imp,NOP,yes
44,NOP,IMP,2,3,nop_zpg,NOP,yes
45,EOR,ZPG,2,3,eor_zpg,EOR,yes
46,LSR,ZPG,2,5,lsr_s_zpg,LSR,yes
47,NOP,IMP,1,1,rmb_bzp,RMB,no
48,PHA,IMP,1,3,pha_imp,PHA,yes
49,EOR,IMM,2,2,eor_imm,EOR,yes
4A,LSR,ACC,1,2,lsr_acc,LSR,yes
